"11124181";"0001";"84";"1";"WOG MADEIRAS";"04";"20181017";"63";"";"";"20090908";"4744002";"4671100";"RUA";"10 CHACARA 148 LOTE";"06";"LOJA  01                  SETOR HAB VICENTE PIRES";"TAGUATINGA";"72110800";"DF";"9701";"61";"33976560";"";"";"";"";"";"";""
"11124191";"0001";"10";"1";"PRN RUAS";"04";"20190328";"63";"";"";"20090909";"4930201";"";"AVENIDA";"AVENIDA EUCLIDES DA CUNHA";"SN";"LOTE  34 QUADRA 34";"VILA SAO JOAO";"25570162";"RJ";"5901";"21";"37555710";"";"";"";"";"";"";""
"02180764";"0004";"84";"2";"";"08";"20151208";"01";"";"";"20090909";"4784900";"";"RUA";"ROMARIO DE AZEREDO MUNIZ";"50";"LOTE  18 QD H";"MANGUEIRINHA";"28800000";"RJ";"5885";"21";"26051932";"";"";"";"";"";"";""
"11124219";"0001";"19";"1";"LAVA JATO ALIANCA";"08";"20170511";"01";"";"";"20090908";"4520005";"";"QUADRA";"SHCS SQ 107 BLOCO A";"S/N";"      PAG                       PARTE A";"ASA SUL";"70346500";"DF";"9701";"61";"84436209";"61";"84436209";"61";"84436209";"";"";""
"11124231";"0001";"23";"1";"VIVARTE EVENTOS EMPRESARIAIS";"04";"20210226";"63";"";"";"20090903";"8230001";"";"RUA";"PROFESSOR ANIBAL MASCARENHAS";"64";"";"JARDIM SAO JORGE";"04432060";"SP";"7107";"11";"35344102";"";"";"";"";"CLOSPFC.003@IG.COM.BR";"";""
"11124243";"0001";"58";"1";"";"04";"20210226";"63";"";"";"20090813";"4759899";"4772500";"RUA";"SAO CELSO";"253";": B;";"VILA DOMITILA";"03626000";"SP";"7107";"11";"28681691";"11";"29112149";"11";"22110977";"VMEQUIPAMENTOS@YAHOO.COM.BR";"";""
"11124254";"0001";"38";"1";"ULTIMO GOLE";"04";"20180828";"63";"";"";"20090902";"9329801";"5611204,5611203,5611201,9001902";"AVENIDA";"GABRIEL ZANETTE";"1500";"";"CEARA";"88815060";"SC";"8089";"48";"34670000";"48";"34670000";"48";"34670000";"analise@engeplus.com.br";"";""
"11124266";"0001";"62";"1";"";"08";"20210826";"01";"";"";"20090902";"8630504";"3250706,8640205";"RUA";"DJANIRA MARIA BASTOS";"1497";": 1 ANDAR;";"CAJI";"42700130";"BA";"3685";"71";"86008074";"";"";"";"";"CONTSERVICOS@HOTMAIL.COM";"";""
"04591749";"0004";"54";"2";"A CICLISTA";"02";"20090910";"00";"";"";"20090910";"4763603";"4530705";"RUA";"LENINGRADO";"114";"      QD 237                    CONJ NOVA CIDADE";"NOVA CIDADE";"69097234";"AM";"0255";"92";"32348531";"";"";"";"";"";"";""
"11124289";"0001";"77";"1";"ESCOLA DOM UNO";"02";"20090812";"00";"";"";"20090812";"8512100";"8513900";"RUA";"DONA MARIA LEITE";"197";"";"VILA NOGUEIRA";"09960450";"SP";"6377";"11";"43621043";"11";"43621043";"11";"43621043";"sac@rrcontrol.com.br";"";""
"11124304";"0001";"87";"1";"PAO DE MEL";"02";"20090909";"00";"";"";"20090909";"1091101";"4637104,4637101,4637102,4637103,4637107,4637199";"RUA";"INACIO TALON";"136";"      E 140";"MORRO DO COCO, 12 DISTRITO DE CAMPOS DOS GOYTACAZE";"28178000";"RJ";"5819";"22";"27215022";"";"";"22";"27320500";"GOMESELACERDA@HOTMAIL.COM";"";""
"11124314";"0001";"12";"1";"SSR IMOVEIS";"04";"20180925";"63";"";"";"20090828";"4110700";"4120400";"RUA";"CAPITAO CRUZ";"328";"";"VISTA ALEGRE";"21250520";"RJ";"6001";"21";"22400973";"21";"22400978";"21";"25324846";"brasilcontabil@brasilvisas.com.br";"";""
"11124330";"0001";"05";"1";"";"02";"20090908";"00";"";"";"20090908";"8230001";"6319400,6311900";"RUA";"CLIMACO BARBOSA";"301";"";"CAMBUCI";"01523000";"SP";"7107";"11";"30248211";"";"";"11";"30248211";"ADRIANO@IDETI.COM.BR";"";""
